query_line,query_text_preview,verse_reference,verse_text_preview,similarity_score
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Psalms 15:4,"In whose eyes a vile person is contemned; but he honoureth them that fear the LORD. He that sweareth to his own hurt, and changeth not.",-5.6955
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",-5.7447
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Judges 16:17,"That he told her all his heart, and said unto her, There hath not come a razor upon mine head; for I have been a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from ",-5.8058
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Hosea 7:13,"Woe unto them! for they have fled from me: destruction unto them! because they have transgressed against me: though I have redeemed them, yet they have spoken lies against me.",-6.0474
103,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",2 Kings 13:15,"Then Amnon hated her exceedingly; so that the hatred wherewith he hated her was greater than the love wherewith he had loved her. And Amnon said unto her, Arise, be gone.",-6.1996
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Genesis 42:33,"And the man, the lord of the country, said unto us, Hereby shall I know that ye are true men; leave one of your brethren here with me, and take food for the famine of your households, and be gone: 42:",-6.2017
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Job 10:15,"If I be wicked, woe unto me; and if I be righteous, yet will I not lift up my head. I am full of confusion; therefore see thou mine",-6.2254
652,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",1 Chronicles 21:12,"Either three years’ famine; or three months to be destroyed before thy foes, while that the sword of thine enemies overtaketh thee; or else three days the sword of the LORD, even the pestilence, in th",-6.2598
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Joshua 10:25,"And Joshua said unto them, Fear not, nor be dismayed, be strong and of good courage: for thus shall the LORD do to all your enemies against whom ye fight.",-6.3116
639,"Though his folly may be less apparent, it is just as real when one-half of the moral and intellectual power of the world is excluded from any voice or vote in civil government. In this denial of the r",Isaiah 9:17,"Therefore the LORD shall have no joy in their young men, neither shall have mercy on their fatherless and widows: for every one is an hypocrite and an evildoer, and every mouth speaketh folly. For all",-6.3625
