query_line,query_chunk_id,query_text,reference_verse,reference_text,similarity
75,7,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.83704877
50,5,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 8:19,Behold the voice of the cry of the daughter of my people because of them that dwell in a far country: Is not the LORD in Zion? is not her king in her? Why have they provoked me to anger with their gra,0.8360305
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.83256644
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Judges 16:17,"That he told her all his heart, and said unto her, There hath not come a razor upon mine head; for I have been a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from ",0.82999384
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.82535344
50,5,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.8253187
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,0.81603056
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",0.81432164
75,7,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.81131995
50,5,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 8:21,For the hurt of the daughter of my people am I hurt; I am black; astonishment hath taken hold on me.,0.8079362
