query_line,query_text_preview,verse_reference,verse_text_preview,similarity_score
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Psalms 15:4,"In whose eyes a vile person is contemned; but he honoureth them that fear the LORD. He that sweareth to his own hurt, and changeth not.",-5.6955
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Genesis 39:19,"And it came to pass, when his master heard the words of his wife, which she spake unto him, saying, After this manner did thy servant to me; that his wrath was kindled.",-5.7096
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",-5.7447
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Micah 7:10,"Then she that is mine enemy shall see it, and shame shall cover her which said unto me, Where is the LORD thy God? mine eyes shall behold her: now shall she be trodden down as the mire of the streets.",-5.7514
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Judges 16:17,"That he told her all his heart, and said unto her, There hath not come a razor upon mine head; for I have been a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from ",-5.8058
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Deuteronomy 31:6,"Be strong and of a good courage, fear not, nor be afraid of them: for the LORD thy God, he it is that doth go with thee; he will not fail thee, nor forsake thee.",-5.9843
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Hosea 7:13,"Woe unto them! for they have fled from me: destruction unto them! because they have transgressed against me: though I have redeemed them, yet they have spoken lies against me.",-6.0474
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",-6.1802
103,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",2 Kings 13:15,"Then Amnon hated her exceedingly; so that the hatred wherewith he hated her was greater than the love wherewith he had loved her. And Amnon said unto her, Arise, be gone.",-6.1996
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Job 10:15,"If I be wicked, woe unto me; and if I be righteous, yet will I not lift up my head. I am full of confusion; therefore see thou mine",-6.2254
